,アップグラ,アップシュー,アップシー,アーエン,アーコン,アーサラ,アージン,アースカ,アーデン,アードス,アーバン,アーボー,アーリン,ウカヨロ,ウロチョロ,ウロボロ,ウンゴー,ウンチク,ウンドサ,ウンドス,ウンワー,エングリ,エンジン,エンジー,エンドロ,オイシー,オイデン,オタマジ,オングル,オンスー,オンチー,オンボロ,オンワー,カサブラ,カステラ,カストロ,カスパー,カタコト,カタコン,カタブツ,カチコチ,カチャカチ,カチンカチ,カチンコチ,カックン,カッサバ,カッチカ,カッチリ,カッチー,カットボ,カップス,カップラ,カップリ,カップル,カツカサ,カツクー,カラカン,カラガミ,カラクリ,カラパカ,カランカラ,カランコロン,カリカチ,カリフラ,カンキン,カンテラ,カントク,カンドキ,カンドシ,カンドタ,カンドボ,カンパチ,カンパー,カンフー,カンプン,カンモク,カーオタ,カーギリ,カークラ,カーグラ,カーゲー,カーゴー,カーシュー,カージャー,カースク,カースタ,カースパ,カースラ,カーチッ,カーチー,カーテク,カートコ,カードキ,カードサ,カーバカ,カーバン,カーパー,カーブー,カーペッ,カーペン,カーボー,カーワー,カーンカー,ガサゴソ,ガタキン,ガタコト,ガタゴト,ガタブル,ガタンゴトン,ガチオタ,ガチコン,ガチャガチ,ガラクタ,ガラポン,ガランガラ,ガンクラ,ガンゴー,ガンシュー,ガンジー,ガンチラ,ガンバリ,ガーデン,ガーパー,ガーベラ,キシカン,キシブル,キャッチン,キャッチー,キューカン,キューピッ,キラリン,キリギリ,キンカツ,キンキラ,キングサ,キングタ,キングリ,キンシッ,キンチャキ,キンバリ,キーカー,キーガン,キーコン,キーパン,キーパー,キーボー,キーポイ,キームン,キーワー,ギリアップ,ギリボー,ギーエン,ギーチョコ,クスアー,クスカラ,クスカー,クスキュー,クスクリ,クスゲー,クスシー,クスジュー,クススパ,クスソロ,クスパー,クスピン,クスフン,クスプラ,クスポン,クタイジ,クタウン,クダウン,クッキリ,クッキン,クッキー,クッコロ,クッゴク,クラウン,クラサク,クラサバ,クラシコ,クラシッ,クラスカ,クラスタ,クラスポ,クラブカ,クラブラ,クラブリ,クリアー,クリコン,クリスタ,クルカー,クルシュー,クルスー,クルパー,クルフー,クルボー,クンガク,クンドク,クンハー,クンバン,クンビク,クーキー,クーパー,クーポン,クーリン,グイベン,グスカー,グスクー,グスピリ,グスピー,グスポン,グスポー,グラウン,グルスタ,グルマザ,グルメリ,グーグル,グースカ,グータラ,グーチー,グーパン,グーパー,ケタコロ,ゲロゲー,ゲーオタ,ゲームク,コックリ,コッチク,コットン,コツンコツ,コテンパン,コトコッ,コロジー,コロスク,コロンコロ,コロンブス,コンカタ,コンガチャ,コンクリ,コンクー,コンシュー,コンスタ,コンチク,コントロ,コンドー,コンバン,コンパク,コンピュー,コンプラ,コンプリ,コンポー,ゴチャゴチ,ゴワカリ,ゴーカー,ゴーキー,ゴーグル,ゴードン,サバザック,サラツヤ,サワムラ,ザーアー,ザーエン,ザークラ,ザーパン,ザービー,シッカリ,シックラ,シックリ,シッドシ,シッピー,シッポリ,シャンパン,シャンビュー,シャンプー,シャーデン,シャーペン,シュークリ,シュースカ,シュートコ,シュートボ,シーシャン,シーズン,シーパン,シーピッ,シーピー,シーフラ,シーフー,シーブカ,シープー,シーポー,ジメカッ,ジャンキー,ジャングル,ジャンパー,ジャンピン,ジャーキー,ジャークラ,ジャーシー,ジャースポ,ジャーバン,ジューシー,ジューリン,ジリキュー,ジリスク,ジンギス,ジンクス,ジングル,ジンジャー,ジンバチ,ジーオズ,ジーゴロ,ジーパン,ジーヒュー,ジープラ,ジープリン,ジーボー,スイオン,スイベン,スカウト,スカウン,スカジャン,スカスー,スカパー,スカベン,スクドー,スクリーン,スクワー,スタクラ,スタグラ,スタシー,スタジャン,スタリン,スッパスパ,スパイラ,スレシー,スレチッ,スージー,スーダラ,スーツカ,スーツケ,スーパー,ズタボロ,ズンパン,ゼーハー,ソロジー,ソロパー,ソロリコン,ゾクフー,タッカー,タッキン,タックラ,タックル,タッスタ,タッチャブ,タッチラ,タッパー,タッピン,タップリ,チクリチク,チクリン,チチチッ,チッカチ,チッキシ,チッパク,チップス,チャリンチャリ,チュンクッ,チューグラ,チューボー,チューリン,チョコクッ,チョココロ,チョコチッ,チョコペン,チョコボン,チョビバタ,チョンケチョン,チラリチラ,チリキャッ,チリペッ,チリンチリ,チンガチ,チングス,チングン,チンゲー,チンタラ,チンチクリ,チンドン,チンピラ,チンプン,チーズタ,チーズバ,チームク,チームシャ,チームラ,ツルペタ,ツンカツ,ツンデレ,ツーシー,ツータッ,ツートン,ツーピー,ツーリン,テクノロ,テラシー,テラピー,デカチチ,デカブツ,デコイラ,デコチュー,デコピン,デコボコ,デコポン,デレツン,デングラ,デンドー,デンブル,デンプン,デンボー,トクチュー,トコトン,トロシャン,トロダク,トロピカ,トロベリ,トンカツ,トンガリ,トングサ,トンズラ,トンタッ,トンチン,トンヌラ,トンバカ,ドカウン,ドキビク,ドキプー,ドサクサ,ドサポー,ドシンドシ,ドスカー,ドストロ,ドタウン,ドタバタ,ドロシー,ドロプル,ドングリ,ドンパチ,ドンピシ,ドーピン,ナミクス,ニコチン,ニタワー,ネチャネチ,ノロジー,ハッキリ,ハッキン,ハットン,ハッハー,ハッピー,ハラドキ,ハードカ,ハードス,ハードボ,ハードロ,ハーハッ,ハーフサ,ハーフラ,ハーブス,ハープル,バカデカ,バカヒー,バキボキ,バシテク,バシャバシ,バタピー,バタフラ,バタンキュー,バチャバチ,バリアー,バリカン,バリサク,バリトン,バンキン,バングル,バンゴー,バンザー,バンスク,バンチュー,バントボ,バンドサ,パキスタ,パクムシャ,パシャパシ,パタリパタ,パチクリ,パチャパチ,パッカー,パッキン,パックダ,パックリ,パッチリ,パッチン,パッツン,パッパラ,パラシュー,パラドク,パリポリ,パンチラ,パンチン,パンツル,パンピー,パンプス,パンポン,パンポー,パーカッ,パーカー,パークラ,パークリ,パーチク,パーテク,パードン,パープル,パーボー,ヒヤリン,ヒーカッ,ヒークリ,ヒーチョコ,ヒーリン,ビクオド,ビシバシ,ビングダ,ビングル,ビーアー,ビーカー,ビーゲー,ビーシッ,ビーチク,ビーチチ,ビートン,ビーピー,ビーフカ,ピクシー,ピチャガラ,ピチャピチ,ピッキン,ピックス,ピッコロ,ピッチカ,ピッチラ,ピッチリ,ピッチン,ピッドシャ,ピッピー,ピョンシッ,ピョンピョコ,ピリオド,ピンキリ,ピンキー,ピングサ,ピンシャン,ピンヒー,ピンボー,ピンポイ,ピンポン,ピンポー,ピーカー,ピーガラ,ピークタ,ピーチク,ピードス,ピードタ,ピーピン,ピーポー,フラフー,フラリフラ,フラワー,フンガー,フンドシ,ブカメラ,ブスチー,ブツアー,ブツクサ,ブラウン,ブラコン,ブラザー,ブラジャー,ブラスカ,ブラスベ,ブラチラ,ブラドー,ブラバン,ブラブカ,ブラボー,ブリガー,ブリコロリ,ブリゴロ,ブリザー,ブルカッ,ブルキン,ブルクリ,ブルクル,ブルコン,ブルゴー,ブルシュー,ブルタッ,ブルテク,ブルドン,ブルドー,ブルハッ,ブルバカ,ブルペコ,ブルペン,ブルワイ,ブルワー,ブンガツ,ブンクリ,ブンブリ,ブーツカ,ブーメラ,ブーンブー,プスカー,プススタ,プスピン,プスピー,プラカー,プラトン,プリクラ,プリゲー,プリコッ,プリチー,プリンクル,プルキー,プルジュー,プルトロ,プルハッ,プルピン,プルルン,プルンプル,プンカー,プンスカ,ヘタウマ,ヘナチョコ,ベラドン,ベラボー,ベリオン,ベロンベロ,ベンカー,ベンジー,ベントコ,ペットボ,ペッパー,ホカメラ,ホログラ,ボカスカ,ボチャスー,ボリスポ,ボロカス,ボンキュッ,ボンクラ,ボーカラ,ボーカリ,ボーガン,ボーリン,ポイズン,ポコチン,ポツリポツ,ポテサラ,ポリシー,ポリテク,ポンコツ,ポンジュー,ポンジン,ポンチョコ,ポンパン,ポンボー,ポンポコ,ポーカー,ポークス,ポーザー,ポーズシ,ポーツカ,ポーツラ,ポートコ,マザコン,マジウマ,マジカッ,マジカン,マジシャン,マジパラ,マジビン,マルエン,マルガリ,マルガー,マルクス,マルクー,マルグリ,マルスー,マルチー,ムシャクシャ,ムズアップ,ムズスク,ムライソ,ムンクル,メキシコ,メソポタ,メタトロ,メチャクチャ,メラアプ,メラスタ,メラワー,メリカン,メリクリ,モリカー,ユラリユラ,ヨロシク,リンカラ,リンカー,リンガー,リンキャッ,リンクサ,リンクタ,リングショ,リングス,リングラ,リンゴリ,リンゴー,リンスイ,リンスタ,リンドブ,リンドー,リンピッ,リンピー,リンフン,リンブル,リーンカー,リーングラ,リーンゴーン,リーンシー,ルンクラ,ルングラ,ルンゴー,ルンパー,ルンボー,ルンワー,ワイアーン,ワイイラ,ワイガヤ,ワイザー,ワイトク,ワイトボ,ワイドシ,ワクチン,ワクドキ,ワクワイ,ワンキー,ワンギリ,ワンクッ,ワンコロ,ワンシク,ワンシー,ワンタッ,ワンチッ,ワンツー,ワンバン,ワンパク,ワンパタ,ワンパッ,ワンパン,ワンピー,ワンボー,ワンポイ,ワーアップ,ワーカー,ワーガミ,ワーキャー,ワークラ,ワークリ,ワースポ,ワーノオ,ワーハラ,ワーバラ
N0458EFkata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N8386EUkata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,
N5878ETkata,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,
N8536DGkata,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,3.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,30.0,,,,2.0,,1.0,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,6.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,3.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,11.0,,,,,,,1.0,,,,,,,,3.0,,,,,,,10.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,33.0,,,,4.0,3.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,2.0,,,3.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,12.0,,,,,,3.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,
N3197EWkata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,12.0,,2.0,,,,,,,,,,,,,,,,,,
N2201EGkata,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
N8220EYkata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N8741CXkata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,6.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
N4334EPkata,,,,,,,,,,,1.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N3003CWkata,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,7.0,,,,,,,,3.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,17.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,5.0,,,,,,,,1.0,,,,,,,,,,,,,,14.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,11.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,2.0,,,1.0,1.0,,,,,,,,
N1399EWkata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
