,アプサラ,アプリン,アーカリ,アーガー,アーシー,アースパ,アータッ,アーボー,イライジ,イラガー,イラビュー,ウラガー,ウラジー,ウロスタ,ウロボロ,ウンタッ,ウントロ,ウンドタ,ウンドブ,ウンドボ,ウンブラ,ウンワー,エンジン,エントロ,エンブリ,エンペラ,オイスタ,オタクタ,オメキシ,オロギー,オロチョン,オンクル,オングル,オンボン,カタクリ,カタフラ,カッシー,カップラ,カップリ,カップル,カツオド,カリオン,カリプス,カンバン,カンフー,カンプン,カーキー,カークス,カーゴー,カービン,カーボン,カーボー,カーワー,ガクブル,ガタンガタ,ガタンゴトン,ガチャガチ,ガブスレ,ガリボリ,ガンデン,ガンドー,ガンパン,ガンブラ,ガンプラ,ガンメタ,ガースラ,ガーハッ,ガービン,ガーベラ,ガーボタ,キシブル,キャッスル,キャッチー,キューブラ,キラリーン,キングサ,キングタ,キングダ,キングビ,キングラ,キンシッ,キンバラ,キーアー,キーオタ,キーガー,キークラ,キーゲー,キーゴー,キーシー,キーパー,キーピラ,キーボー,キーポイ,キーワー,ギーバリ,ギーパッ,クサクッ,クスアー,クスカー,クスキュー,クスキー,クスゲー,クススク,クスドス,クスブル,クスワー,クタブル,クチャカッ,クッキン,クッキー,クラウダ,クラウン,クラガー,クラシッ,クラシー,クラスタ,クラツー,クリアー,クリコン,クリスタ,クリブス,クルグズ,クルコン,クルボン,クンビク,クーガー,クーデレ,クーパー,グスペッ,グラウン,グラドス,グリプス,グルマザ,グンチー,グーグル,ゲロキシ,ゲーブル,ゲーマル,ゲーリン,コッキン,コットロ,コッパー,コップス,コトバン,コロンブス,コンカッ,コンクリ,コンクー,コンゲー,コンシュー,コンシー,コンスタ,コントロ,コンドー,コンパク,コンパチ,コンピュー,コンプラ,コンプリ,コンペン,コンポー,ゴリジン,ゴーグル,ゴーシュー,ゴーバリ,ゴーフラ,サバゲー,ザクレロ,ザブングル,ザーガン,ザーキー,ザーホロ,ザーポイ,シックス,シナジー,シナプス,シャリバン,シャンパン,シャーキン,シャーパン,シーキン,シーグリ,シーコン,シーザー,シーズン,シートン,ジャンキー,ジャングル,ジャンバラ,ジャンピン,ジャンブー,ジャンプス,ジャンボー,ジャーシー,ジャージー,ジャーンジャン,ジャーンジャー,ジューシー,ジンガー,ジンキャッ,ジンクス,ジンジャー,ジンピン,ジークン,ジーゲー,ジーワー,スイギリ,スカイラ,スカウト,スカウン,スカカス,スカパー,スカワン,スクリーン,スクワー,スタシオ,スタシー,スタドー,スタブリ,スタブル,スパイラ,スパコン,スラグラ,スラスタ,スレボリ,スレポー,スージー,スーツケ,スーパー,ズシンガー,ズタボロ,ズングリ,ソロシッ,ソロジー,ゾリオン,タッカー,タックス,タックル,タッジー,タッパー,ダブスタ,ダブリン,ダライラ,ダラガン,チカスタ,チップス,チョンケチョン,チンギス,チンコチ,チンパン,チンピラ,チンプン,ツンデレ,ツートン,テクトボ,テクノロ,テラコッ,デコボコ,デブオタ,デレハー,デンシー,デンドロ,トコトン,トロガン,トログラ,トロベリ,トンカチ,トンカツ,トンガリ,トンスク,トンズラ,トンチン,トンパー,トンピン,ドシリン,ドタドン,ドタバタ,ドロシー,ドングリ,ドンシャリ,ドンシャン,ドンパチ,ドンピシ,ドーキン,ドークス,ドーパー,ドーピン,ドーベン,ドーワイ,ドーンピン,ニタリン,ヌルゲー,ネチカッ,ネトウヨ,ネトゲー,ノタウロ,ハッカー,ハッキリ,ハッキン,ハッチン,ハッピー,ハッヘラ,ハラドキ,ハーガン,ハードカ,ハードボ,ハードロ,ハービー,ハーピー,バカスカ,バカボン,バタフラ,バラタッ,バリアー,バリガー,バリスタ,バリゼー,バンカー,バンガー,バンクー,バングラ,バンサラ,バンジー,バンドン,バンブル,バンブー,パキスタ,パクチョン,パチクリ,パッカー,パッキン,パックス,パッチン,パッパラ,パラウン,パラグラ,パラシュー,パラベラ,パラリン,パラワン,パンコロ,パンジー,パンチラ,パンパッ,パーカン,パーカー,パーキン,パークス,パースラ,パープル,パーリン,ヒラリクー,ヒンデン,ヒーカッ,ヒートロ,ヒーブラ,ビューアー,ビラコチ,ビリジャン,ビーアー,ビークル,ビーグリ,ビーグル,ビーコン,ビーピン,ビーブル,ビーブー,ビームラ,ビーメタ,ピクリン,ピックサ,ピックス,ピッコロ,ピリオド,ピンキー,ピンクサ,ピンポイ,ピンポー,ピーカー,ピーガー,ピーキャッ,ピーグリ,ピーコッ,ピージー,ピースク,ピースタ,ピードロ,ピープル,フカスタ,フラフー,フラワー,フンガー,フートン,ブストン,ブラウン,ブラカー,ブラガン,ブラクラ,ブラコン,ブラザー,ブラジリ,ブラスタ,ブラペン,ブリザー,ブリスタ,ブルカッ,ブルガリ,ブルガン,ブルクラ,ブルコン,ブルゴー,ブルスタ,ブルスパ,ブルゼー,ブルドー,ブルハー,ブルパッ,ブルパン,ブルピー,ブルブリ,ブンキン,ブンスタ,ブースタ,ブービー,ブーメラ,プスブル,プラカラ,プラカー,プラグイ,プラグス,プリクラ,プリコッ,プリゴロ,プリズン,プリベン,プルグリ,プルシャン,プルスイ,プルツー,プンオタ,プンワー,プークス,プーチン,ベラボー,ベリオン,ベンジャー,ベンチャラ,ベントボ,ペックダ,ペットボ,ペンタッ,ホイザー,ボトムズ,ボリシー,ボロカス,ボンクラ,ボーカラ,ボーカリ,ボーリン,ポカドー,ポリキャッ,ポリシー,ポンコツ,ポンコン,ポージン,ポーツカ,ポートロ,マザコン,マジキチ,マルクス,マルブル,ミシガン,ムズアップ,ムンクル,メキシコ,メソポタ,メチャクチャ,メリアー,メリカサ,メリカン,メリカー,ヨタクラ,ヨタプリ,ヨタミシ,リンガー,リンキラ,リンクス,リングサ,リンシャー,リンジャー,リンスタ,リントン,リンピッ,リンブル,リンマジ,リーンカー,ワイドシ,ワクチン,ワナビク,ワンクッ,ワンクリ,ワンシー,ワンタッ,ワンツー,ワンバタ,ワンパタ,ワンピー,ワーアップ,ワーエン,ワーカー,ワーキン,ワークス,ワークラ,ワードク,ワードス,ワーバラ,ワープカ,ワーポイ
N1003EMkata,35.0,,,,4.0,1.0,,,,13.0,2.0,4.0,,1.0,,5.0,,,10.0,1.0,,,11.0,,,,,1.0,1.0,,,1.0,,,,,,,,7.0,,4.0,,,6.0,,,1.0,,,,,,,,,1.0,2.0,,,1.0,1.0,1.0,15.0,,1.0,1.0,2.0,4.0,1.0,1.0,,,,,,,4.0,2.0,,,1.0,2.0,1.0,,10.0,,,,3.0,,,,2.0,1.0,3.0,,1.0,1.0,1.0,1.0,,,,,1.0,,6.0,,,1.0,1.0,4.0,,,1.0,,,2.0,,,,,5.0,,1.0,,2.0,3.0,2.0,12.0,2.0,,1.0,,,3.0,1.0,2.0,,2.0,,,,1.0,,,,6.0,1.0,,,26.0,,,1.0,24.0,,6.0,,3.0,,11.0,2.0,3.0,2.0,,9.0,31.0,2.0,,,,19.0,,3.0,1.0,,2.0,3.0,,,4.0,,4.0,,,,,,22.0,1.0,3.0,,,1.0,1.0,1.0,80.0,,2.0,,,,,,,2.0,2.0,1.0,,,1.0,2.0,,,1.0,,,,,,,2.0,,,,,202.0,,2.0,,2.0,4.0,2.0,3.0,,,,,,1.0,,3.0,,,1.0,,,,,,,2.0,4.0,1.0,,,,,,1.0,,5.0,,,1.0,,,,,1.0,,,,,,8.0,,,,,,,2.0,4.0,,1.0,,,,,,,,1.0,4.0,3.0,,,17.0,4.0,1.0,6.0,,,,,,1.0,1.0,,4.0,5.0,1.0,,,1.0,2.0,,,,,,4.0,,,,,3.0,,2.0,3.0,,,,,,,,1.0,,1.0,,,,,,2.0,7.0,,,,,10.0,,,,,13.0,3.0,,1.0,1.0,,,1.0,48.0,1.0,,,,2.0,,1.0,,2.0,,2.0,,,,,,4.0,,,3.0,1.0,2.0,,,,,4.0,,1.0,,1.0,,,2.0,,5.0,,,,5.0,4.0,,,,3.0,5.0,1.0,3.0,,,,2.0,,,16.0,1.0,4.0,,1.0,,,3.0,,,,,5.0,,,,8.0,,,,,,,,,,1.0,,,,30.0,,,,,,,,5.0,,4.0,2.0,,9.0,2.0,1.0,,,,,,,,,19.0,,,11.0,,,,,1.0,,1.0,,,,,7.0,,,,,1.0,,,,,3.0,,,,2.0,,64.0,,,,,,,8.0,,4.0,
N3118EWkata,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N9649ERkata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N4786EKkata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,
N8670DYkata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N7093EUkata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,
N4434EJkata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N8271ETkata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N7749ENkata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N1212ERkata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N5576EMkata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
N2277CTkata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N5092BYkata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,,,,,1.0,,,,,8.0,,1.0,,9.0,,1.0,,,7.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,8.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,6.0,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,7.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
N5191EPkata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N3791DGkata,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,3.0,7.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,12.0,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,4.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,3.0,,
N3389EJkata,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N5017EJkata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
N8761CPkata,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,1.0,,,,,,,,,,,,,,,,,
